番号,名詞1,助詞1,名詞2,助詞2,名詞3,助詞3,動詞,子ども用解説,大人用解説,,
1,わたし,は,学校,へ,,,行く,「は」はだれのこと、「へ」は行き先だよ。,「は」は主題提示、「へ」は方向を示す格助詞。,,
2,ぼく,は,公園,で,サッカー,を,する,「は」はだれ、「で」は場所、「を」はするものだよ。,「は」は主題、「で」は動作場所、「を」は対象。,,
3,ねこ,が,魚,を,,,食べる,「が」はする人、「を」は食べるものだよ。,「が」は主格、「を」は対格。,,
4,先生,が,学生,に,宿題,を,出す,「が」はする人、「に」は相手、「を」は出すものだよ。,「が」は主格、「に」は受け手、「を」は対象。,,
5,わたし,は,家,から,学校,まで,歩く,「から」ははじまり、「まで」はおわりだよ。,起点「から」と終点「まで」。,,
6,ぼく,は,兄,より,背,が,高い,「より」はくらべるときだよ。,比較基準「より」、主格「が」。,,
7,友達,と,公園,で,,,遊ぶ,「と」はいっしょ、「で」は場所だよ。,共同「と」、動作場所「で」。,,
8,わたし,は,音楽,を,,,聞く,「を」は聞くものだよ。,対格。,,
9,犬,が,庭,で,,,走る,「が」はする人、「で」は場所だよ。,主格＋動作場所。,,
10,わたし,は,日本,の,文化,を,学ぶ,「の」はつながり、「を」は対象だよ。,連体修飾「の」、対格「を」。,,
11,ぼく,は,駅,から,学校,まで,走る,「から」ははじまり、「まで」はおわりだよ。,起点と終点。,,
12,ねこ,が,いす,に,,,すわる,「に」はばしょだよ。,存在場所。,,
13,先生,は,教室,で,話,を,する,「で」は場所、「を」はすることだよ。,動作場所と対象。,,
14,友達,が,わたし,に,本,を,貸す,「に」はあいて、「を」はものだよ。,受け手と対象。,,
15,わたし,は,川,で,魚,を,見る,「で」は場所、「を」は見るものだよ。,動作場所と対象。,,
16,ぼく,は,朝,に,,,起きる,「に」は時間だよ。,時間。,,
17,鳥,が,空,を,,,飛ぶ,「を」は通る場所だよ。,経路。,,
18,犬,が,家,に,,,入る,「に」は行き先だよ。,到達点。,,
19,先生,が,黒板,に,字,を,書く,「に」は場所、「を」は書くものだよ。,位置＋対象。,,
20,わたし,は,友達,と,映画,を,見る,「と」はいっしょ、「を」は見るものだよ。,共同＋対象。,,
21,ぼく,は,図書館,で,本,を,読む,「で」は場所、「を」は読むものだよ。,動作場所と対象。,,
22,ねこ,が,窓,から,外,を,見る,「から」ははじまり、「を」は見るものだよ。,起点＋対象。,,
23,友達,は,学校,へ,,,行く,「へ」は行き先だよ。,方向。,,
